combo,module_count,module_id,load,I_main_mA,I_min_mA,I_max_mA,V_module_main_V,V_module_min_V,V_module_max_V,I_main_display_text_mA,T_stm32_C,V_source_main_V,source_minus_module_main_mV,photo_filename_date_batch,retained_quality_note,n_records_per_configuration_condition,within_condition_repeat_SD_mA,provenance_json
M1-M2,2,M1,ZERO,18.151,18.12,18.16,3.252,3.252,3.252,18.151,26.5,3.278,26.000,2026-09-07,,1,,"{""combo"": ""M1-M2"", ""module_count"": ""2"", ""module_id"": ""M1"", ""load"": ""ZERO"", ""I_main_mA"": ""18.151"", ""I_min_mA"": ""18.12"", ""I_max_mA"": ""18.16"", ""T_stm32_C"": ""26.5"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012031.jpg"", ""current_photo_sha256"": ""673c646dba9f4d95049978c1b632f1108edf2a34e90e60297da866412abfd10f"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012031.jpg"", ""I_min_source"": ""photo"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.252"", ""V_module_min_V"": ""3.252"", ""V_module_max_V"": ""3.252"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979"", ""voltage_source_fields"": ""V_module1_avg_V;V_module1_min_V;V_module1_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233326.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233326.jpg"", ""voltage_photo_sha256"": ""44b939a5dcf69e1330781f1ba3c331398ff277ca898524fe60017518605bd4b4"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.278"", ""source_to_module_drop_mV"": ""26.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M1-M2,2,M2,ZERO,18.110,18.07,18.12,3.247,3.247,3.247,18.110,26.3,3.278,31.000,2026-09-07,,1,,"{""combo"": ""M1-M2"", ""module_count"": ""2"", ""module_id"": ""M2"", ""load"": ""ZERO"", ""I_main_mA"": ""18.110"", ""I_min_mA"": ""18.07"", ""I_max_mA"": ""18.12"", ""T_stm32_C"": ""26.3"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260907_012237.jpg"", ""current_photo_sha256"": ""ef553ac318cb203f4c7cfb97ac4a59cbd08ce8ad83fb806fc40349c2540a8310"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_012237.jpg"", ""I_min_source"": ""photo"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.247"", ""V_module_min_V"": ""3.247"", ""V_module_max_V"": ""3.247"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/PS01_N2_F200_ZERO_M1-M2_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""6de2a9ff6fe5d6035346802c2411c29a8ed87e0ef5c54d376eb7b73e1ba08979"", ""voltage_source_fields"": ""V_module2_avg_V;V_module2_min_V;V_module2_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/zero_load/IMG_20260906_233351.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260906_233351.jpg"", ""voltage_photo_sha256"": ""69018df11cf23a6346df70483a1e110bed7a5ef78b012c84dad3437f155703bb"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.278"", ""source_to_module_drop_mV"": ""31.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M1-M2,2,M1,MAX,19.99,19.98,20.08,3.251,3.251,3.251,19.99,26.9,3.277,26.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg""], ""configuration_photo_sha256"": [""62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca"", ""b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076"", ""9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959"", ""be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420"", ""5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M1-M2"", ""module_id"": ""M1"", ""load"": ""MAX"", ""I_main_mA"": ""19.99"", ""I_min_mA"": ""19.98"", ""I_max_mA"": ""20.08"", ""V_module_main_V"": ""3.251"", ""V_module_min_V"": ""3.251"", ""V_module_max_V"": ""3.251"", ""V_source_main_V"": ""3.277"", ""V_source_min_V"": ""3.277"", ""V_source_max_V"": ""3.277"", ""T_stm32_C"": ""26.9"", ""T_teensy_C"": ""43.1"", ""T_regulator_C"": ""29.2"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg""}, ""current_photo_sha256"": ""62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca"", ""module_voltage_photo_sha256"": ""be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420"", ""source_voltage_photo_sha256"": ""9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959""}"
M1-M2,2,M2,MAX,19.729,19.67,19.74,3.244,3.244,3.244,19.729,26.7,3.277,33.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_031825.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032207.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg""], ""configuration_photo_sha256"": [""62a94cbbe5fd2b78f71163a17ae7d2d29121c38e91d689634a13dc2d89a8aeca"", ""b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076"", ""9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959"", ""be8d002483e0a3d69131e0f4a970720bfdd790f71d8db378834a8d6627c03420"", ""5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M1-M2"", ""module_id"": ""M2"", ""load"": ""MAX"", ""I_main_mA"": ""19.729"", ""I_min_mA"": ""19.67"", ""I_max_mA"": ""19.74"", ""V_module_main_V"": ""3.244"", ""V_module_min_V"": ""3.244"", ""V_module_max_V"": ""3.244"", ""V_source_main_V"": ""3.277"", ""V_source_min_V"": ""3.277"", ""V_source_max_V"": ""3.277"", ""T_stm32_C"": ""26.7"", ""T_teensy_C"": ""43.1"", ""T_regulator_C"": ""29.2"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032016.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032232.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M2/IMG_20260907_032139.jpg""}, ""current_photo_sha256"": ""b7ff30018bf4bcc9cdbf582a7af3160e073559f7af613e3aa563c841b0792076"", ""module_voltage_photo_sha256"": ""5bc6d401c8ff8d26d50a3e6a647dde001aefa429d609b0b72583b4b3ca2c0b5c"", ""source_voltage_photo_sha256"": ""9078837ac6f32fac442cb7caf5190889d8abf879cb8234afb8e621e44f9d9959""}"
M1-M3,2,M1,ZERO,18.464,18.43,18.49,3.248,3.247,3.248,18.464,26.7,3.278,30.000,2026-09-07,,1,,"{""combo"": ""M1-M3"", ""module_count"": ""2"", ""module_id"": ""M1"", ""load"": ""ZERO"", ""I_main_mA"": ""18.464"", ""I_min_mA"": ""18.43"", ""I_max_mA"": ""18.49"", ""T_stm32_C"": ""26.7"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012628.jpg"", ""current_photo_sha256"": ""66cda4f9645c78a8509901d51a9fc5f83f7a010e24f6d1bf9afc608427d6001a"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012628.jpg"", ""I_min_source"": ""photo"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.248"", ""V_module_min_V"": ""3.247"", ""V_module_max_V"": ""3.248"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc"", ""voltage_source_fields"": ""V_module1_avg_V;V_module1_min_V;V_module1_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233906.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233906.jpg"", ""voltage_photo_sha256"": ""925d80f090d6c45226d70306301cf5cff07a28e8ae6015b399666e7789c3b0d7"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.278"", ""source_to_module_drop_mV"": ""30.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M1-M3,2,M3,ZERO,18.097,18.07,18.11,3.245,3.245,3.245,18.097,26.5,3.278,33.000,2026-09-07,,1,,"{""combo"": ""M1-M3"", ""module_count"": ""2"", ""module_id"": ""M3"", ""load"": ""ZERO"", ""I_main_mA"": ""18.097"", ""I_min_mA"": ""18.07"", ""I_max_mA"": ""18.11"", ""T_stm32_C"": ""26.5"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_zero_20260907.csv"", ""current_source_sha256"": ""999f4e4240b17a4853ed860ce7cb07956ebead1a9da4b8bac4afbe66272cb277"", ""current_field_mapping"": ""supplement CSV physical module_id"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260907_012749.jpg"", ""current_photo_sha256"": ""3867fdb1ee89a0467a872fa865c3ac7ee89795de75daf5fdc0e2f8417225f1b0"", ""current_photo_original_reference"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_012749.jpg"", ""I_min_source"": ""photo"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-07"", ""temperature_source"": ""user_message_via_supplement"", ""V_module_main_V"": ""3.245"", ""V_module_min_V"": ""3.245"", ""V_module_max_V"": ""3.245"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/PS01_N2_F200_ZERO_M1-M3_USB_RX_VOLTAGE_R1.yaml"", ""voltage_source_sha256"": ""d3aac60eb88bfcb9208d4acf2ceb07be8d751e33e28b3316085f5470a26458cc"", ""voltage_source_fields"": ""V_module3_avg_V;V_module3_min_V;V_module3_max_V"", ""voltage_photo_paths"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/zero_load/IMG_20260906_233928.jpg"", ""voltage_photo_original_references"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260906_233928.jpg"", ""voltage_photo_sha256"": ""d160d125392ca110f3db9c098ba1980081f6690e90949e0b77ad8c2e362aafa4"", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.278"", ""source_to_module_drop_mV"": ""33.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": ""Voltage-only ZERO supplement. Currents, temperatures, timing and fault observations are unavailable. Photos retained unchanged."", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M1-M3,2,M1,MAX,20.32,20.28,20.32,3.250,3.249,3.250,20.32,27.2,3.277,27.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032730.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032751.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032928.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_033036.jpg""], ""configuration_photo_sha256"": [""b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db"", ""bc0e879bf9e8b426673a80abfed7a82b719ad12ac02fba85914c75374e0cdbb1"", ""979ac982dea17b33d628c4da9e6247e3595b777e81c12df0445911cc80f990bd"", ""a3523e3c06f6eea89debb852a19d2d6e39a7b508752c509bae633f9ee7ba0b90"", ""c01b1f9a9cd644b176d68653704cd774be313c49fd458240f56098a6cdfbed13""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M1-M3"", ""module_id"": ""M1"", ""load"": ""MAX"", ""I_main_mA"": ""20.32"", ""I_min_mA"": ""20.28"", ""I_max_mA"": ""20.32"", ""V_module_main_V"": ""3.250"", ""V_module_min_V"": ""3.249"", ""V_module_max_V"": ""3.250"", ""V_source_main_V"": ""3.277"", ""V_source_min_V"": ""3.277"", ""V_source_max_V"": ""3.278"", ""T_stm32_C"": ""27.2"", ""T_teensy_C"": ""42.7"", ""T_regulator_C"": ""29.2"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032928.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032730.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg""}, ""current_photo_sha256"": ""a3523e3c06f6eea89debb852a19d2d6e39a7b508752c509bae633f9ee7ba0b90"", ""module_voltage_photo_sha256"": ""bc0e879bf9e8b426673a80abfed7a82b719ad12ac02fba85914c75374e0cdbb1"", ""source_voltage_photo_sha256"": ""b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db""}"
M1-M3,2,M3,MAX,19.696,19.66,19.70,3.246,3.246,3.246,19.696,26.6,3.277,31.000,2026-09-07,,1,,"{""source_record"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907.csv"", ""source_record_sha256"": ""a2e9c5a596f28a6fd2712ba11964b5225dc0a26a7949b22472683013757841ee"", ""metadata"": ""DATA/raw/canonical/power_experiment_records/current_temperature_supplements/n2_max_20260907_metadata.json"", ""metadata_sha256"": ""e335661ecc64456d4bab510dd44a104fdb3c6989946054dd1783394a7d6660bc"", ""configuration_photo_paths"": [""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032730.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032751.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032928.jpg"", ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_033036.jpg""], ""configuration_photo_sha256"": [""b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db"", ""bc0e879bf9e8b426673a80abfed7a82b719ad12ac02fba85914c75374e0cdbb1"", ""979ac982dea17b33d628c4da9e6247e3595b777e81c12df0445911cc80f990bd"", ""a3523e3c06f6eea89debb852a19d2d6e39a7b508752c509bae633f9ee7ba0b90"", ""c01b1f9a9cd644b176d68653704cd774be313c49fd458240f56098a6cdfbed13""], ""source_voltage_mapping_basis"": ""The first voltage photograph within each combination is assigned SOURCE following the established capture convention. The probe endpoint is not visible in these DMM photographs; this label is inferred rather than independently verified by the image."", ""temperature_source"": ""user_message_via_metadata"", ""load_mass_area_distribution"": ""not supplied"", ""fault_counts"": null, ""row_values"": {""combo"": ""M1-M3"", ""module_id"": ""M3"", ""load"": ""MAX"", ""I_main_mA"": ""19.696"", ""I_min_mA"": ""19.66"", ""I_max_mA"": ""19.70"", ""V_module_main_V"": ""3.246"", ""V_module_min_V"": ""3.246"", ""V_module_max_V"": ""3.246"", ""V_source_main_V"": ""3.277"", ""V_source_min_V"": ""3.277"", ""V_source_max_V"": ""3.278"", ""T_stm32_C"": ""26.6"", ""T_teensy_C"": ""42.7"", ""T_regulator_C"": ""29.2"", ""current_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_033036.jpg"", ""module_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032751.jpg"", ""source_voltage_photo"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M1-M3/IMG_20260907_032708.jpg""}, ""current_photo_sha256"": ""c01b1f9a9cd644b176d68653704cd774be313c49fd458240f56098a6cdfbed13"", ""module_voltage_photo_sha256"": ""979ac982dea17b33d628c4da9e6247e3595b777e81c12df0445911cc80f990bd"", ""source_voltage_photo_sha256"": ""b9cf989e8867fa8771f9045fcfd474cac9fb860ffb4f7fa420ddecd097e704db""}"
M2-M3,2,M2,ZERO,18.379,18.36,18.42,3.248,3.248,3.248,18.379,26.7,3.279,31.000,2026-09-05,,1,,"{""combo"": ""M2-M3"", ""module_count"": ""2"", ""module_id"": ""M2"", ""load"": ""ZERO"", ""I_main_mA"": ""18.379"", ""I_min_mA"": ""18.36"", ""I_max_mA"": ""18.42"", ""T_stm32_C"": ""26.7"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml"", ""current_source_sha256"": ""b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d"", ""current_field_mapping"": ""I_module2_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-05"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.248"", ""V_module_min_V"": ""3.248"", ""V_module_max_V"": ""3.248"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M2-M3_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d"", ""voltage_source_fields"": ""V_module2_avg_V;V_module2_min_V;V_module2_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.279"", ""source_to_module_drop_mV"": ""31.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
M2-M3,2,M3,ZERO,18.155,18.14,18.16,3.248,3.248,3.248,18.155,27.1,3.279,31.000,2026-09-05,,1,,"{""combo"": ""M2-M3"", ""module_count"": ""2"", ""module_id"": ""M3"", ""load"": ""ZERO"", ""I_main_mA"": ""18.155"", ""I_min_mA"": ""18.14"", ""I_max_mA"": ""18.16"", ""T_stm32_C"": ""27.1"", ""current_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml"", ""current_source_sha256"": ""b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d"", ""current_field_mapping"": ""I_module3_*_mA"", ""current_photo"": """", ""current_photo_sha256"": """", ""current_photo_original_reference"": """", ""I_min_source"": ""original_YAML"", ""I_min_note"": """", ""current_filename_date_batch"": ""2026-09-05"", ""temperature_source"": ""original_YAML_point_reading"", ""V_module_main_V"": ""3.248"", ""V_module_min_V"": ""3.248"", ""V_module_max_V"": ""3.248"", ""voltage_source_run_id"": ""PS01_N2_F200_ZERO_M2-M3_USB_RX_R1"", ""voltage_source_path"": ""DATA/raw/canonical/power_experiment_records/transmission/n=2/M2-M3/zero_load/PS01_N2_F200_ZERO_M2-M3_USB_RX_R1.yaml"", ""voltage_source_sha256"": ""b50050a18d67351c74810a9376ad094906abec2e5c6c944e645fddea7bd4dc2d"", ""voltage_source_fields"": ""V_module3_avg_V;V_module3_min_V;V_module3_max_V"", ""voltage_photo_paths"": """", ""voltage_photo_original_references"": """", ""voltage_photo_sha256"": """", ""voltage_acceptance_basis"": ""no_reported_supply_contact_fault"", ""V_source_reference_V"": ""3.279"", ""source_to_module_drop_mV"": ""31.000"", ""drop_uses_same_record"": ""True"", ""drop_basis"": ""source_and_module_main_in_same_record"", ""voltage_quality_event_id"": """", ""current_temperature_are_post_connector_repair_measurements"": """", ""original_observation"": """", ""quality_note"": """", ""n_current_records_in_this_condition"": ""1"", ""within_condition_repeat_SD_mA"": """"}"
